fid,_latitude,_longitude,codigo,localizaca,andar,foto,observacao,Codigo_2,Artista,Título,Data_2,Técnica,Dimensão,icon_url
42,-25.423668800000002,-49.211119699999998,15,EXTERNO,Externo,784d50f8-de8f-4dbe-80b9-bf4a724670b4,,15,Luiz Gagliastri,Sem título,"2009",Escultura m ferro Fundido,"500 x 134 x
227 cm",./0.png
43,-25.423774900000002,-49.211221700000003,14,EXTERNO,Externo,46b64a61-17e5-4f6e-a572-6ff3791d9448,,14,Luiz Gagliastri,Sem título,"2007",Escultura em ferro fundido,"225 x 223 x
236 cm",./0.png
44,-25.424945000000001,-49.211703300000003,159,EXTERNO,Externo,d2f79121-42a9-4425-95ab-f51c5754c00b,,,,,,,,./0.png
45,-25.424740100000001,-49.210925899999999,157,EXTERNO,Externo,4c6c80ff-fd16-4d92-b0a6-456335f54c8b,,157,Artista desconhecido,Sem título,Sem data,Ferro Policromado,134 x 40 x 34,./0.png
46,-25.424791700000000,-49.210818300000000,16,EXTERNO,Externo,5f8750d2-cb33-438f-b09c-e7775cb756e1,,16,André Bucher,À Justiça,Sem data,Escultura em ferro e plástico,"32 x 86 x 17
cm",./0.png
47,-25.424913600000000,-49.210805600000000,17,EXTERNO,Externo,929dbfac-a4b0-4cf9-afe5-0faac0f8882a,,17,Tony Reis,Arte Contemporânea,"2015",Escultura em resina,"123 x 123 x 40
cm",./0.png
48,-25.423973300000000,-49.212789999999998,52,BL08,1o Andar,a42184fa-3b55-4ab4-b7c2-c3f60f4a11ec,,52,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"28 x 19,5 cm (suporte)
39 x 30 cm (suporte)",./0.png
49,-25.423976700000001,-49.212728300000002,146,BL08,1o Andar,44c86618-cd70-4daf-947c-fd9141109045,,146,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,"54,5 x 39 cm",./0.png
50,-25.424020599999999,-49.212742599999999,51,BL08,1o Andar,e76c2cb4-265d-4243-bd26-1b7a75fddd5a,,51,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,54 x 39 cm,./0.png
51,-25.423938300000000,-49.212710000000001,152,BL08,1o Andar,191c1867-908b-4fcb-befd-547668c6ce26,,152,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,60 x 49 cm,./0.png
52,-25.423979500000002,-49.212704400000000,150,BL08,1o Andar,a96b2a05-5c86-41b5-9426-75b9c8dcd429,,150,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,60 x 50 cm,./0.png
53,-25.424003299999999,-49.212721700000003,151,BL08,1o Andar,7ac9ccc8-a9aa-4f03-8f3e-9909c7459eb5,,151,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,50 x 65 cm,./0.png
54,-25.423961700000000,-49.212751699999998,148,BL08,1o Andar,68609836-8a1f-4504-aec4-ac6093e393ec,,148,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,45 x 70 cm,./0.png
55,-25.423961700000000,-49.212751699999998,149,BL08,1o Andar,a94f72f7-90e3-4ca0-8281-ea2715c011e9,,149,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,50 x 70 cm,./0.png
56,-25.423928300000000,-49.212731699999999,147,BL08,1o Andar,81602e44-ea09-48bc-9d35-580f2091a88f,,147,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,"37,5 x 46 cm",./0.png
57,-25.423916699999999,-49.212699999999998,154,BL08,1o Andar,2f672046-993e-4769-8d63-2d82e48cb398,,154,Carlos Novaes,Sem título,Sem data,Tinta acrílica sobre papel,68 x 49 cm,./0.png
58,-25.423932000000001,-49.212640000000000,153,BL08,1o Andar,b90c2387-8b35-480b-95ff-26e502569efb,,153,Carlos Novaes,Sem título,Sem data,Tinta óleo e  acrílica sobre papel,67 x 49 cm,./0.png
60,-25.426394100000000,-49.214125799999998,162,BL01,Térreo,93783e00-1ee4-4fd3-9e28-8c33a489787a,NOVO (2022),,,,,,,./0.png
61,-25.426390399999999,-49.214134399999999,50,BL01,Térreo,a2372d10-e85b-4d88-8d97-e1b489c14081,,50,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"30 x 20 cm (suporte – cada)
63,5 x 41,5 cm",./0.png
62,-25.426393699999998,-49.214120800000003,165,BL01,Térreo,c53940a4-9fcf-4a2b-a05a-2b25a073d371,NOVO (2023),,,,,,,./0.png
63,-25.426388400000000,-49.214157200000002,166,BL01,Térreo,59486071-1910-4635-8463-0d488ed07bab,NOVO (2023),,,,,,,./0.png
64,-25.426403199999999,-49.214089600000001,122,BL01,Térreo,fdd2a1ae-e01e-4bef-85bc-e929aa7f8dc4,,122,Rui Casaril,(Abstrato),"2005",Tinta óleo sobre tela,"70 x 90 cm (suporte) 89,5 x 110
(moldura)",./0.png
65,-25.425944099999999,-49.213518499999999,88,Segurança,Térreo,d4dd2bff-fd10-47e4-96ca-0b304e279623,,88,Reginaldo Carvalho,(UniBrasil),Sem data,Tinta óleo sobre tela,"50 x 60 cm (suporte)
68 x 78 cm (moldura)",./0.png
66,-25.426347799999999,-49.214081100000001,133,BL01,Térreo,8b1679bd-7f8d-40db-ba47-e19ba4ad0658,,133,Ciro Vidal,(Abstrato),"2005","Técnica mista: tinta óleo, tinta acrílica e massa plástica sobre tela",89 x 69 cm,./0.png
67,-25.426344799999999,-49.214077199999998,128,BL01,Térreo,48991f24-117a-4af4-a4b2-78f9b146f2cc,,128,Carlos Novaes,(Aquarela),Sem data,Aquarela e nanquim sobre papel,"28,5 x 20 cm (suporte-cada) 39 x 54 cm (moldura)",./0.png
68,-25.426353800000001,-49.214070999999997,127,BL01,Térreo,cdb899a1-c1e8-4db0-be85-fd235422460a,,127,Carlos Novaes,(Abstrato),Sem data,Nanquim e aguada sobre papel,"28,5 x 20 cm (suporte-cada) 39 x 54 cm (moldura)",./0.png
69,-25.425823900000001,-49.214234099999999,48,BL01,Térreo,cedd1f76-8581-42e5-bd71-0fcdb14b2e31,Central de Diplomas,48,Carlos Novaes,Abstrato,Sem data,Tinta óleo sobre tela,54 x 78 cm,./0.png
70,-25.425780199999998,-49.214426699999997,121,BL01,1o Andar,addf7540-b42f-4c0b-9c2b-aa49a1159034,,121,Robson Krieger,Vista da Uni Brasil,"2006",Tinta óleo sobre tela,"50 x 70 cm (suporte)
61,5 x 81,5 cm",./0.png
71,-25.425806600000001,-49.214381899999999,120,BL01,1o Andar,eed49d1d-a80f-44e1-850a-639216c67272,,120,Robson Krieger,Vista da UniBrasil,"2006",Tinta óleo sobre tela,"40 x 60 cm (suporte)
61,5 x 81,5 cm",./0.png
72,-25.425777199999999,-49.214448900000001,118,BL01,1o Andar,b4590770-c4fd-4eb2-80a0-75c554213b37,,118,Robson Krieger,UCP - Pitanga - PR,"2006",Tinta óleo sobre tela,"50 x 70 cm (suporte)
71,5 x 91,5 cm
(suporte)",./0.png
73,-25.425801199999999,-49.214362899999998,115,BL01,1o Andar,1a4b75d4-4030-4ed5-b9b7-1991e77c8f9c,,115,Robson Krieger,"Uniguaçu, União da Vitória – PR","2006",Tinta óleo sobre tela,"50 x 70 cm (suporte)
71,5 x 91,5 cm
(suporte)",./0.png
74,-25.425795399999998,-49.214340000000000,89,BL01,1o Andar,090ebdc2-6621-4a9b-9c25-0b963a8f29f6,,89,Reginaldo Carvalho,(UniBrasil),"2004",Tinta óleo sobre tela,35 x 45 cm,./0.png
75,-25.425812700000002,-49.214303000000001,113,BL01,1o Andar,16496785-568c-494b-b4f6-0b12734c31d0,,113,Robson Krieger,(UniBrasil),01/2016,Impressão colorida sobre tela (reprodução),"60 x 50 cm (suporte)
76 x 66 cm (moldura)",./0.png
76,-25.426031900000002,-49.214206300000001,114,BL01,1o Andar,0fc9c2b4-0f8d-4c41-9185-419e99ba29b7,,114,Robson Krieger,(UniBrasil),Sem data,Tinta óleo sobre tela,"50 x 70 cm (suporte)
71,5 x 91,5 cm
(moldura)",./0.png
77,-25.426288199999998,-49.214135499999998,112,BL01,1o Andar,8215e0f8-7d86-4d0b-ae43-87517857e2b1,,112,Reginaldo Carvalho,(Bandeiras),"2015",Tinta óleo sobre tela,"69 x 78,5 cm (suporte)
73 x 82 cm (moldura)",./0.png
78,-25.425809999999998,-49.214391499999998,59,BL01,1o Andar,d634e94b-7279-4f77-bafa-edad09543bb1,,59,Claudia Dias,(Paisagem),Sem data,Tinta óleo sobre tela,30 x 40 cm (suporte) 42 x 52 cm (moldura),./0.png
79,-25.425784400000001,-49.214340499999999,167,BL01,1o Andar,82e6613d-b2a0-40e5-89bb-6ee4292d4901,SEM CÓDIGO,,,,,,,./0.png
80,-25.425870600000000,-49.214142600000002,132,BL01,1o Andar,1ccf232a-f8a4-4782-9fd4-25bf7d42cccf,,132,Ciro Vidal,(Abstrato),"2004","Técnica mista: tinta óleo, tinta acrílica e massa plástica sobre tela",93 x 154 cm,./0.png
81,-25.425780600000000,-49.214171000000000,137,BL01,1o Andar,004f97e6-a9ef-4934-9918-cefd58cf2f4b,,137,Autor desconhecido,Sem título,"1950",Vidro policromado,137 x 176 cm,./0.png
82,-25.426304500000001,-49.214148299999998,168,BL01,1o Andar,0d6cda63-6145-4b3d-8927-1447a0b86df7,SEM CÓDIGO,,,,,,,./0.png
83,-25.425782399999999,-49.212895199999998,86,BL02,Térreo,bb5fcede-d9a7-465e-8b74-5dc7fc75177c,,86,Reginaldo Carvalho,(UniBrasil),"2004",Tinta óleo sobre tela,"60 x 50 cm (suporte) 80 x 70 cm
(moldura)",./0.png
84,-25.426291299999999,-49.214166200000001,124,BL01,1o Andar,e1c1faf4-6f83-4f28-968f-81b461c1f243,,124,Carlus Lisboa,Sem título,"2015",Tinta óleo e relevo sobre alumínio,"57 x 86,5 cm (suporte)
70 x 101 cm (suporte)",./0.png
85,-25.426292100000001,-49.214173299999999,87,BL01,1o Andar,2d81b053-6b16-4450-92fc-24aae01d6388,,87,Reginaldo Carvalho,(UniBrasil),"2012",Tinta óleo sobre tela,"30 x 40 cm (suporte)
45,5 x 55,5 cm
(moldura)",./0.png
86,-25.426303699999998,-49.214148899999998,85,BL01,1o Andar,c3308788-0295-48c5-8cb1-613b15fb2f27,,85,Reginaldo Carvalho,(UniBrasil),"2004",Tinta óleo sobre tela,"50 x 60 cm (suporte) 70 x 80 cm
(moldura)",./0.png
87,-25.426302600000000,-49.214149700000000,111,BL01,1o Andar,b46b5df4-af8c-4785-a44b-f76f0fabd158,,111,Reginaldo Carvalho,(Araucárias),"2013",Tinta óleo sobre tela,"80 x 80 cm (suporte)
109 x 109 cm (moldura)",./0.png
88,-25.426301899999999,-49.214150300000000,125,BL01,1o Andar,70046460-f8e7-4bb4-a1c2-73da6d7434d4,,125,Carlus Lisboa,Sem título,"2015",Tinta óleo e relevo sobre alumínio,"43,5 x 89 cm (suporte)
66 x111 cm (moldura)",./0.png
89,-25.426301400000000,-49.214150699999998,54,BL01,1o Andar,067d7b14-02cd-4c67-a2a6-94d7cfb04763,,54,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"7,5 x 17,5 cm (suporte)
18 x 27 cm",./0.png
90,-25.426320199999999,-49.214134700000002,53,BL01,1o Andar,85fe1fb3-c816-478a-a6c2-48c717107015,,53,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"19 x 9,5 cm (suporte-cada) 29,5 x 33,5 cm",./0.png
91,-25.426300300000001,-49.214169200000001,44,BL01,1o Andar,ee2b3a2f-f10c-413a-920f-3d07734d59ac,,44,Reginaldo Carvalho,Cavaleiros  “Dom Quixote”,Sem data,Tinta óleo sobre tela,60 x 50 cm (suporte) 80 x 70 cm (moldura),./0.png
92,-25.426300500000000,-49.214149100000000,93,BL01,1o Andar,0fc32ce8-c1d6-4e0a-879c-bb5dabe175f7,,93,Reginaldo de Carvalhos,(Lardo da Ordem),"2006",Tinta óleo sobre tela,60 x 50 cm (suporte) 80 x 70 cm (moldura),./0.png
93,-25.426304900000002,-49.214148999999999,62,BL01,1o Andar,2c334d7a-e232-4e77-ba7c-569fbd69258c,,62,Constância Nery,(São João),2006?,Tinta óleo sobre tela,"50 x 70 cm (suporte) 63 x 63 cm
(moldura)",./0.png
94,-25.426310500000000,-49.214148700000003,61,BL01,1o Andar,9d1f378c-e77b-43cf-9f6a-f327d055f2e1,,61,Constância Nery,(São João),2006?,Tinta óleo sobre tela,50 x 70 cm (suporte) 63 x 63 cm (moldura),./0.png
95,-25.426298200000002,-49.214153400000001,58,BL01,1o Andar,aa5bc05c-fd90-4917-9310-4978f92396d7,,58,Cássio Mello,(Centro Universitário UniBrasil),"2005",Tinta óleo sobre tela,"60 x 90 cm (suporte)
88 x 116,5 cm (moldura)",./0.png
96,-25.426307999999999,-49.214158400000002,109,BL01,1o Andar,52bdd1ae-c62e-4283-8fd0-c24be779cc79,,109,Reginaldo carvalho,15 anos UniBrasil,"2013",Tinta óleo sobre tela,"80 x 80 cm (suporte)
108 x 108 cm (suporte)",./0.png
97,-25.426321800000000,-49.214157399999998,136,BL01,1o Andar,52ca7ba9-df7e-46eb-b607-a4ea9af8cec4,,136,Ruben Esmanhotto,Universidade Federal do Paraná,"2008",Vinil encerado sobre tela,"60 x 79 cm (suporte) 67,5 x 82
(moldura)",./0.png
98,-25.426324399999999,-49.214146999999997,6,BL01,1o Andar,ab2030a0-1248-43b4-bf82-368b8e4cf440,,6,Andréa Castor Kraemer,(Vitral/ Campus),"2013",Aquarela sobe seda,"141,5 x 162,5
cm",./0.png
99,-25.426313700000001,-49.214150799999999,72,BL01,1o Andar,9dd1acf0-fab4-4000-822f-a38bbb2cab1b,,72,Lélia Brown,UniBrasil,"2001",Tinta óleo sobre tela,"50 x 70 cm (suporte)
80 x 100 cm (moldura)",./0.png
100,-25.426304999999999,-49.214151100000002,131,BL01,1o Andar,46053a80-fb3d-47ab-b47b-f6189cbeb55a,,131,Paulo L. Schmidlin,(Auditório Cordeiro Clève),"2008",Nanquim sobre papel,"12,5 x 24,5 cm
(suporte) 35 x 42 cm (moldura)",./0.png
101,-25.426297000000002,-49.214174800000002,94,BL01,1o Andar,b98ac955-1e94-413b-a85b-98d4beafe912,,94,Reginaldo de Carvalhos,(Formatura),"2007",Tinta óleo sobre tela,"45 x 57 cm (suporte) 64 x 57 cm
(moldurta)",./0.png
102,-25.426246500000001,-49.214171600000000,97,BL01,1o Andar,a6665511-d729-4ed6-9dbe-9fa7fb39b640,,97,Reginaldo de Carvalho,(UniBrasil),"2008",Tinta óleo sobre tela,39 x 48 cm (suporte) 58 x 67 cm (moldura),./0.png
103,-25.426307099999999,-49.214138499999997,106,BL01,1o Andar,d6bf772c-f54f-4e13-a09d-38922eedb571,,106,Reginaldo Carvalho,(Bloco IV),2009?,Tinta óleo sobre tela,38 x 48 cm (suporte) 60 x 70 cm (moldura),./0.png
104,-25.426306900000000,-49.214141599999998,101,BL01,1o Andar,904b2392-c7b4-4c5e-802e-eb36cf16f996,,101,Reginaldo Carvalho,(Campus),"2009",Tinta óleo sobre tela,"34 x 48 cm (suporte)
58 x 67 cm (moldura)",./0.png
105,-25.426312200000002,-49.214131299999998,98,BL01,1o Andar,62425747-38b9-48c2-9915-f1d7a96a7407,,98,Reginaldo de Carvalho,(Biblioteca),2000?,Tinta óleo sobre tela,38 x 48 cm (suporte) 58 x 67 cm (moldura),./0.png
106,-25.426318100000000,-49.214127300000001,43,BL01,1o Andar,93626289-5659-4029-9bf1-76266b0a9673,,43,Reginaldo Carvalho,(Campus),"2009",Tinta óleo sobre Eucatex,"38,5 x 47 cm (suporte)
58 x 67 cm (moldura)",./0.png
107,-25.426318500000001,-49.214128600000002,100,BL01,1o Andar,85bea690-a5fb-42a8-acdc-d2e290e7eca5,,100,Reginaldo Carvalho,(Biblioteca),"2008",Tinta óleo sobre eucatex,"38 x 47 cm (suporte)
57,5 x 67 cm (suporte)",./0.png
108,-25.426337499999999,-49.214131600000002,107,BL01,1o Andar,398eba3c-c5e1-4614-a9d7-08056e0dabca,,107,Reginaldo Carvalho,(Campus),"2008",Tinta óleo sobre tela,38 x 48 cm (suporte) 58 x 67 cm (moldura),./0.png
109,-25.426340100000001,-49.214147099999998,82,BL01,1o Andar,2611e2fc-9112-41e6-a049-66aeffbde577,,82,Reginaldo Carvalho,(Jardim Interno - UniBrasil),"2001",Tinta óleo sobre tela,"38 x 48 cm (suporte)
58 x 67 cm (moldura)",./0.png
110,-25.426416000000000,-49.214143100000001,105,BL01,1o Andar,ba9540f0-4d77-47fe-9e46-e3af3179f4ce,,105,Reginaldo Carvalho,(Cantina),"2011",Tinta óleo sobre tela,"38 x 48 cm (suporte)
70 x 80 cm (moldura)",./0.png
111,-25.426407999999999,-49.214132399999997,78,BL01,1o Andar,877b1c92-199d-4d4b-ab1d-29aa6f0b510c,,78,Reginaldo Carvalho,(UniBrasil),"2001",Tinta óleo sobre tela,"50 x 60 cm (suporte) 68,5 x 78 cm
(moldura)",./0.png
112,-25.426404000000002,-49.214145500000001,76,BL01,1o Andar,2d5cf20c-b610-4069-88c6-0e0e814d9f01,,76,Reginaldo Carvalho,(UniBrasil),"2001",Tinta óleo sobre tela,50 x 60 cm (suporte) 70 x 80 cm (moldura),./0.png
113,-25.426456000000002,-49.214158099999999,22,BL01,1o Andar,056e7276-3625-4b83-b206-e005cd1209c0,,22,Clècius Coser,Sem título,"2004",Escultura em mármore,"70 x 40 x 23
cm",./0.png
114,-25.426473699999999,-49.214167300000000,4,BL01,1o Andar,b63e67c4-a772-4d21-95cc-d56ac17c0bd2,,4,Louise Lobo Kulig,Não estamos sós,"2006",Tinta acrílica sobre tela,"113 x 145 cm (suporte)
116 x 151 cm (moldura)",./0.png
115,-25.426460599999999,-49.214120700000002,5,BL01,1o Andar,4a9ba5b9-f95d-4bd6-8d38-438f77fe3402,,5,Louise Lobo Kulig,Para onde vamos?,"2006",Carvão  e tinta acrílica sobre tela,"140 x 160 cm (suporte)
143 x 163 cm (moldura)",./0.png
116,-25.425841599999998,-49.214356400000000,71,Auditório bloco 1,Térreo,c00c18b4-4f30-4b74-b3a8-ca993c7be8a7,,71,Josué Demarche,Sem título,"2008",Tinta óleo sobre tela,270 x 600 cm (aproximadam ente),./0.png
117,-25.425869800000001,-49.214333600000003,138,Auditório bloco 1,Térreo,20a69cf6-5207-41e3-858e-f77261f8ee3d,,138,Autor desconhecido,Sem título,"1950",Vidro policromado,"473 x 98 cm
(12 vitrais)
430 x 98 cm (1 vitral)",./0.png
118,-25.426053100000001,-49.214361699999998,92,BL01,Térreo,5e6e5bd7-2baa-4602-a42d-bc99d96dd1ce,,92,Reginaldo de Carvalhos,Araucárias,"2005",Tinta óleo sobre tela,"36 x 60 cm (suporte)
54 x 79,5 cm (moldura)",./0.png
119,-25.426199799999999,-49.214095700000001,79,BL01,Térreo,780664e9-24a9-4a22-8042-811e6f60be11,,79,Reginaldo Carvalho,Largo da Ordem,"2001",Tinta óleo sobre tela,"50 x 60 cm (suporte)
71 x 80,5 cm (suporte)",./0.png
120,-25.426167199999998,-49.214106299999997,77,BL01,Térreo,f6eba675-413d-4e5f-af94-c3219e252efd,,77,Reginaldo Carvalho,(UniBrasil),"2001",Tinta óleo sobre tela,50 x 60 cm (suporte) 70 x 80 cm (moldura),./0.png
121,-25.426331399999999,-49.214113699999999,20,BL01,Térreo,966e53d7-0119-4d88-a50a-3663180aa95a,,20,Clècius Coser,Sem título,"2004",Escultura em mármore,"65 x 50 x 20
cm",./0.png
122,-25.426291700000000,-49.214148199999997,135,BL01,Térreo,effe6d43-76ae-4ad9-b680-2c2d52025d46,,135,Ruben Esmanhotto,UniBrasil,"2005",Vinil encerado sobre madeira,70 x 70 cm (cada),./0.png
123,-25.426294700000000,-49.214102799999999,21,BL01,Térreo,3b11005c-5ae3-471a-a76d-cd743325bc26,,21,Clècius Coser,Sem título,"2006",Escultura em mármore,"106 x 32 x 21
cm",./0.png
124,-25.426238099999999,-49.214145600000002,103,BL01,Térreo,0ec2a644-8565-49a7-9496-99fe48efb3b0,,103,Reginaldo Carvalho,Curitiba,"2009",Tinta óleo sobre tela,172 x 522 cm,./0.png
125,-25.426232700000000,-49.214178400000002,70,BL01,Térreo,9fbba56d-599c-4e67-886b-5632b98617e5,,70,Isael M. Caetano,Sem título,"2008",Tinta acrílica sobre tela,50 x 150 cm,./0.png
126,-25.426198599999999,-49.214099500000003,68,BL01,Térreo,ebf8107f-1a03-4509-b544-afd6601107fe,,68,Isael M. Caetano,Sem título,"2008",Tinta acrílica sobre tela,50 x 150 cm,./0.png
127,-25.426132200000001,-49.214208399999997,67,BL01,Térreo,816a13ce-0fad-486c-90f3-e4045c5a2a1c,,67,Isael M. Caetano,Sem título,"2008",Tinta acrílica sobre tela,50 x 150 cm,./0.png
128,-25.425669800000001,-49.212951099999998,56,BL02,2o Andar,0ae621e7-eb62-489b-a76c-f1f69c2be0ff,,56,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"17 x 24 cm (suporte)
32,5 x 39,5 cm
(suporte)",./0.png
129,-25.425740300000001,-49.212941499999999,55,BL02,2o Andar,620b5118-c4b8-4cda-b15b-5db46ac8887e,,55,Carlos Novaes,(Abstrato),Sem data,Tinta acrílica sobre tela,"21 x 18 cm (suporte)
32,5 x 39,5 cm
(moldura)",./0.png
